10-14 years old,15-19 years old,20-24 years old,25-29 years old,30-34 years old,35-49 years old,50-69 years old,70+ years old
1.334680069,2.770237795,3.073134492,3.013055443,3.052417127,3.299906664,4.585874273,4.858194019
1.109049713,2.435188816,2.945597437,3.25675245,3.62207477,3.606840974,6.473842872,7.393144678
1.01576405,2.403352779,3.166733792,3.376320069,3.552111652,3.412730698,5.504523947,5.750962249
0.945017614,2.05762504,2.461698895,2.50477137,2.526080665,2.58012311,3.932908212,4.968197916
1.404711157,3.284766082,4.06990331,4.14652438,4.379980231,4.454894272,6.587520975,7.71450709
2.113088497,3.112885068,3.417464521,3.527343563,3.63381828,3.711861175,5.240785805,5.362571547
1.43392593,2.981288742,3.382606447,3.269121446,3.170470226,3.19532225,3.297841513,3.363878741
0.922594547,2.055313781,2.544485433,2.618553373,2.679201155,2.803405462,-,5.810400632
1.182001205,2.650156177,3.345565806,3.826511729,4.243958423,3.861956249,6.720131994,8.067927491
1.595903403,3.309804619,3.467939993,3.632238269,3.867810477,3.85021106,6.658029611,8.167869579
1.115254595,2.561801568,2.948458649,2.954386913,3.12143398,3.257972472,5.951790594,6.19960642
1.214588098,2.7371738,3.416482526,3.784003844,4.169068397,3.869632979,6.787587198,8.178750167
2.033660435,4.907514682,5.673106519,5.357407318,5.271697547,5.460966358,4.408722401,3.324190957
1.293818034,2.986399018,3.845587156,4.206114979,4.556048656,4.374789641,7.07812659,8.266576194
1.29340563,2.794698067,3.200762037,3.2646804,3.401700708,3.508143346,5.228045805,5.319390796
1.471809998,3.790030874,5.024412399,5.060902182,5.187537628,5.021866247,6.623179192,7.37763669
1.35637006,2.970440066,3.569026716,3.974656605,4.395609461,4.037896879,6.876514843,8.27079575
2.183798053,4.971190836,5.834275866,5.271687682,4.9418064,5.237157711,4.95637649,4.410604529
0.868518544,1.966919636,2.485858412,2.75787897,3.062948114,3.371518325,6.924339566,7.810173971
0.834541629,1.971635069,2.523545848,2.485780419,2.460672287,2.500295223,3.591183157,3.91984078
1.431574447,2.918332937,3.041679396,3.188151341,3.391148378,3.463956736,6.024572096,7.339370945
1.480413029,3.628735134,4.65051142,4.684286458,4.82797036,4.767280343,6.340830207,7.247606121
